"La Pampa","50-59","F","4683"
"La Pampa","50-59","M","2354"
"La Pampa","60-69","F","477"
"La Pampa","60-69","M","504"
"La Pampa","70-79","F","3513"
"La Pampa","70-79","M","2949"
"La Pampa","80-89","F","4613"
"La Pampa","80-89","M","2771"
"La Pampa","90-99","F","971"
"La Pampa","90-99","M","317"
"La Pampa","90-99","S.I.","2"
"La Pampa",">=100","F","62"
"La Pampa",">=100","M","17"
"La Pampa","S.I.","F","4"
"La Rioja","18-29","F","1943"
"La Rioja","18-29","M","1752"
"La Rioja","18-29","S.I.","22"
"La Rioja","30-39","F","3922"
"La Rioja","30-39","M","2630"
"La Rioja","30-39","S.I.","22"
"La Rioja","40-49","F","4139"
"La Rioja","40-49","M","2273"
"La Rioja","40-49","S.I.","29"
"La Rioja","50-59","F","2867"
"La Rioja","50-59","M","1691"
"La Rioja","50-59","S.I.","9"
"La Rioja","60-69","F","1941"
"La Rioja","60-69","M","1720"
"La Rioja","60-69","S.I.","13"
"La Rioja","70-79","F","4002"
"La Rioja","70-79","M","3239"
"La Rioja","70-79","S.I.","77"
"La Rioja","80-89","F","1563"
"La Rioja","80-89","M","958"
"La Rioja","80-89","S.I.","50"
"La Rioja","90-99","F","264"
"La Rioja","90-99","M","110"
"La Rioja","90-99","S.I.","22"
"La Rioja",">=100","F","5"
"La Rioja",">=100","M","2"
"La Rioja","S.I.","F","2"
"La Rioja","S.I.","M","3"
"La Rioja","S.I.","S.I.","1"
"Mendoza","18-29","F","5055"
"Mendoza","18-29","M","2086"
"Mendoza","18-29","S.I.","13"
"Mendoza","30-39","F","12016"
"Mendoza","30-39","M","4864"
"Mendoza","30-39","S.I.","53"
"Mendoza","40-49","F","13638"
"Mendoza","40-49","M","5073"
"Mendoza","40-49","S.I.","187"
"Mendoza","50-59","F","10128"
"Mendoza","50-59","M","4237"
"Mendoza","50-59","S.I.","68"
"Mendoza","60-69","F","2680"
"Mendoza","60-69","M","2256"
"Mendoza","60-69","S.I.","47"
"Mendoza","70-79","F","26199"
"Mendoza","70-79","M","20875"
"Mendoza","70-79","S.I.","272"
"Mendoza","80-89","F","10669"
"Mendoza","80-89","M","6798"
"Mendoza","80-89","S.I.","155"
"Mendoza","90-99","F","1749"
"Mendoza","90-99","M","779"
"Mendoza","90-99","S.I.","69"
"Mendoza",">=100","F","40"
"Mendoza",">=100","M","12"
"Mendoza",">=100","S.I.","10"
"Mendoza","S.I.","F","9"
"Mendoza","S.I.","M","9"
"Mendoza","S.I.","S.I.","6"
"Misiones","18-29","F","2859"
"Misiones","18-29","M","1581"
"Misiones","30-39","F","5070"
"Misiones","30-39","M","2664"
"Misiones","40-49","F","8253"
"Misiones","40-49","M","3973"
"Misiones","40-49","S.I.","3"
"Misiones","50-59","F","10218"
"Misiones","50-59","M","6227"
"Misiones","50-59","S.I.","1"
"Misiones","60-69","F","7297"
"Misiones","60-69","M","5660"
"Misiones","70-79","F","6850"
"Misiones","70-79","M","5889"
"Misiones","80-89","F","3090"
"Misiones","80-89","M","2054"
"Misiones","90-99","F","373"
"Misiones","90-99","M","207"
"Misiones",">=100","F","9"
"Misiones",">=100","M","2"
"Misiones","S.I.","F","6"
"Misiones","S.I.","M","2"
"Neuquén","18-29","F","2460"
"Neuquén","18-29","M","1095"
"Neuquén","30-39","F","6051"
"Neuquén","30-39","M","2968"
"Neuquén","40-49","F","5641"
"Neuquén","40-49","M","2833"
"Neuquén","50-59","F","2922"
"Neuquén","50-59","M","1719"
"Neuquén","60-69","F","2090"
"Neuquén","60-69","M","1929"
"Neuquén","70-79","F","8768"
"Neuquén","70-79","M","7287"
"Neuquén","80-89","F","4807"
"Neuquén","80-89","M","3110"
"Neuquén","80-89","S.I.","3"
"Neuquén","90-99","F","851"
"Neuquén","90-99","M","358"
"Neuquén","90-99","S.I.","1"
"Neuquén",">=100","F","28"
"Neuquén",">=100","M","1"
"Río Negro","18-29","F","2817"
"Río Negro","18-29","M","1706"
"Río Negro","18-29","S.I.","22"
"Río Negro","30-39","F","7689"
"Río Negro","30-39","M","3527"
"Río Negro","30-39","S.I.","91"
"Río Negro","40-49","F","7933"
"Río Negro","40-49","M","3444"
"Río Negro","40-49","S.I.","137"
"Río Negro","50-59","F","5115"
"Río Negro","50-59","M","2094"
"Río Negro","50-59","S.I.","64"
"Río Negro","60-69","F","1661"
"Río Negro","60-69","M","1516"
"Río Negro","60-69","S.I.","40"
"Río Negro","70-79","F","7604"
"Río Negro","70-79","M","6523"
"Río Negro","70-79","S.I.","252"
"Río Negro","80-89","F","4334"
"Río Negro","80-89","M","2976"
"Río Negro","80-89","S.I.","236"
"Río Negro","90-99","F","932"
"Río Negro","90-99","M","389"
"Río Negro","90-99","S.I.","80"
"Río Negro",">=100","F","24"
"Río Negro",">=100","M","7"
"Río Negro",">=100","S.I.","6"
"Río Negro","S.I.","F","1"
"Salta","18-29","F","3486"
"Salta","18-29","M","2028"
"Salta","18-29","S.I.","7"
"Salta","30-39","F","9890"
"Salta","30-39","M","5888"
"Salta","30-39","S.I.","39"
"Salta","40-49","F","11122"
"Salta","40-49","M","6146"
"Salta","40-49","S.I.","49"
"Salta","50-59","F","7904"
"Salta","50-59","M","3703"
"Salta","50-59","S.I.","43"
"Salta","60-69","F","3137"
"Salta","60-69","M","2569"
"Salta","60-69","S.I.","15"
"Salta","70-79","F","16813"
"Salta","70-79","M","13457"
"Salta","70-79","S.I.","167"
"Salta","80-89","F","6569"
"Salta","80-89","M","4446"
"Salta","80-89","S.I.","135"
"Salta","90-99","F","1071"
"Salta","90-99","M","480"
"Salta","90-99","S.I.","35"
"Salta",">=100","F","19"
"Salta",">=100","M","4"
"Salta",">=100","S.I.","1"
"Salta","S.I.","M","2"
"Salta","S.I.","S.I.","1"
"San Juan","18-29","F","2829"
"San Juan","18-29","M","1211"
"San Juan","18-29","S.I.","18"
"San Juan","30-39","F","5915"
"San Juan","30-39","M","2706"
"San Juan","30-39","S.I.","64"
"San Juan","40-49","F","6733"
"San Juan","40-49","M","3451"
"San Juan","40-49","S.I.","98"
"San Juan","50-59","F","4516"
"San Juan","50-59","M","2178"
"San Juan","50-59","S.I.","42"
"San Juan","60-69","F","1313"
"San Juan","60-69","M","1133"
"San Juan","60-69","S.I.","23"
"San Juan","70-79","F","9457"
"San Juan","70-79","M","4865"
"San Juan","70-79","S.I.","301"
"San Juan","80-89","F","5161"
"San Juan","80-89","M","3202"
"San Juan","80-89","S.I.","173"
"San Juan","90-99","F","824"
"San Juan","90-99","M","323"
"San Juan","90-99","S.I.","53"
"San Juan",">=100","F","11"
"San Juan",">=100","M","5"
"San Juan","S.I.","F","1"
"San Luis","18-29","F","1074"
"San Luis","18-29","M","480"
"San Luis","30-39","F","2711"
"San Luis","30-39","M","1377"
"San Luis","40-49","F","5137"
"San Luis","40-49","M","2637"
"San Luis","50-59","F","4293"
"San Luis","50-59","M","2588"
"San Luis","60-69","F","3237"
"San Luis","60-69","M","2752"
"San Luis","70-79","F","8905"
"San Luis","70-79","M","7113"
"San Luis","80-89","F","3778"
"San Luis","80-89","M","2351"
"San Luis","90-99","F","592"
"San Luis","90-99","M","246"
"San Luis",">=100","F","10"
"San Luis",">=100","M","6"
"Santa Cruz","18-29","F","1832"
"Santa Cruz","18-29","M","1320"
"Santa Cruz","18-29","S.I.","15"
"Santa Cruz","30-39","F","4068"
"Santa Cruz","30-39","M","2543"
"Santa Cruz","30-39","S.I.","18"
"Santa Cruz","40-49","F","3666"
"Santa Cruz","40-49","M","2205"
"Santa Cruz","40-49","S.I.","34"
"Santa Cruz","50-59","F","1869"
"Santa Cruz","50-59","M","1076"
"Santa Cruz","50-59","S.I.","8"
"Santa Cruz","60-69","F","483"
"Santa Cruz","60-69","M","391"
