"count","jurisdiccion_aplicacion","fecha_aplicacion","nombre_dosis_generica"
297,"Buenos Aires","2021-04-08","2da"
87342,"Buenos Aires","2021-04-09","1ra"
515,"Buenos Aires","2021-04-09","2da"
36654,"Buenos Aires","2021-04-10","1ra"
84,"Buenos Aires","2021-04-10","2da"
26131,"Buenos Aires","2021-04-11","1ra"
1,"Buenos Aires","2021-04-11","2da"
48175,"Buenos Aires","2021-04-12","1ra"
366,"Buenos Aires","2021-04-12","2da"
45038,"Buenos Aires","2021-04-13","1ra"
589,"Buenos Aires","2021-04-13","2da"
50161,"Buenos Aires","2021-04-14","1ra"
624,"Buenos Aires","2021-04-14","2da"
48602,"Buenos Aires","2021-04-15","1ra"
605,"Buenos Aires","2021-04-15","2da"
39261,"Buenos Aires","2021-04-16","1ra"
427,"Buenos Aires","2021-04-16","2da"
20658,"Buenos Aires","2021-04-17","1ra"
80,"Buenos Aires","2021-04-17","2da"
14514,"Buenos Aires","2021-04-18","1ra"
26283,"Buenos Aires","2021-04-19","1ra"
158,"Buenos Aires","2021-04-19","2da"
25524,"Buenos Aires","2021-04-20","1ra"
423,"Buenos Aires","2021-04-20","2da"
34684,"Buenos Aires","2021-04-21","1ra"
430,"Buenos Aires","2021-04-21","2da"
49229,"Buenos Aires","2021-04-22","1ra"
381,"Buenos Aires","2021-04-22","2da"
54777,"Buenos Aires","2021-04-23","1ra"
493,"Buenos Aires","2021-04-23","2da"
41463,"Buenos Aires","2021-04-24","1ra"
18,"Buenos Aires","2021-04-24","2da"
36454,"Buenos Aires","2021-04-25","1ra"
47,"Buenos Aires","2021-04-25","2da"
57112,"Buenos Aires","2021-04-26","1ra"
180,"Buenos Aires","2021-04-26","2da"
52153,"Buenos Aires","2021-04-27","1ra"
453,"Buenos Aires","2021-04-27","2da"
44463,"Buenos Aires","2021-04-28","1ra"
344,"Buenos Aires","2021-04-28","2da"
39559,"Buenos Aires","2021-04-29","1ra"
667,"Buenos Aires","2021-04-29","2da"
19286,"Buenos Aires","2021-04-30","1ra"
421,"Buenos Aires","2021-04-30","2da"
11204,"Buenos Aires","2021-05-01","1ra"
47,"Buenos Aires","2021-05-01","2da"
18835,"Buenos Aires","2021-05-02","1ra"
33771,"Buenos Aires","2021-05-03","1ra"
28860,"Buenos Aires","2021-05-03","2da"
43225,"Buenos Aires","2021-05-04","1ra"
30137,"Buenos Aires","2021-05-04","2da"
51225,"Buenos Aires","2021-05-05","1ra"
14132,"Buenos Aires","2021-05-05","2da"
42907,"Buenos Aires","2021-05-06","1ra"
13103,"Buenos Aires","2021-05-06","2da"
31623,"Buenos Aires","2021-05-07","1ra"
11089,"Buenos Aires","2021-05-07","2da"
12310,"Buenos Aires","2021-05-08","1ra"
5482,"Buenos Aires","2021-05-08","2da"
11806,"Buenos Aires","2021-05-09","1ra"
851,"Buenos Aires","2021-05-09","2da"
23873,"Buenos Aires","2021-05-10","1ra"
1385,"Buenos Aires","2021-05-10","2da"
25192,"Buenos Aires","2021-05-11","1ra"
1151,"Buenos Aires","2021-05-11","2da"
5421,"Buenos Aires","2021-05-12","1ra"
69583,"Buenos Aires","2021-05-12","2da"
4332,"Buenos Aires","2021-05-13","1ra"
74383,"Buenos Aires","2021-05-13","2da"
4214,"Buenos Aires","2021-05-14","1ra"
76984,"Buenos Aires","2021-05-14","2da"
10813,"Buenos Aires","2021-05-15","1ra"
34604,"Buenos Aires","2021-05-15","2da"
9052,"Buenos Aires","2021-05-16","1ra"
35907,"Buenos Aires","2021-05-16","2da"
17752,"Buenos Aires","2021-05-17","1ra"
48269,"Buenos Aires","2021-05-17","2da"
51381,"Buenos Aires","2021-05-18","1ra"
7911,"Buenos Aires","2021-05-18","2da"
52614,"Buenos Aires","2021-05-19","1ra"
4258,"Buenos Aires","2021-05-19","2da"
53356,"Buenos Aires","2021-05-20","1ra"
3858,"Buenos Aires","2021-05-20","2da"
10097,"Buenos Aires","2021-05-21","1ra"
36515,"Buenos Aires","2021-05-21","2da"
6658,"Buenos Aires","2021-05-22","1ra"
25935,"Buenos Aires","2021-05-22","2da"
9813,"Buenos Aires","2021-05-23","1ra"
14466,"Buenos Aires","2021-05-23","2da"
20407,"Buenos Aires","2021-05-24","1ra"
5952,"Buenos Aires","2021-05-24","2da"
17286,"Buenos Aires","2021-05-25","1ra"
2158,"Buenos Aires","2021-05-25","2da"
29656,"Buenos Aires","2021-05-26","1ra"
11660,"Buenos Aires","2021-05-26","2da"
18290,"Buenos Aires","2021-05-27","1ra"
11869,"Buenos Aires","2021-05-27","2da"
15279,"Buenos Aires","2021-05-28","1ra"
50227,"Buenos Aires","2021-05-28","2da"
37086,"Buenos Aires","2021-05-29","1ra"
21500,"Buenos Aires","2021-05-29","2da"
45004,"Buenos Aires","2021-05-30","1ra"
8184,"Buenos Aires","2021-05-30","2da"
71649,"Buenos Aires","2021-05-31","1ra"
5462,"Buenos Aires","2021-05-31","2da"
73388,"Buenos Aires","2021-06-01","1ra"
2860,"Buenos Aires","2021-06-01","2da"
85559,"Buenos Aires","2021-06-02","1ra"
2502,"Buenos Aires","2021-06-02","2da"
88911,"Buenos Aires","2021-06-03","1ra"
2482,"Buenos Aires","2021-06-03","2da"
87412,"Buenos Aires","2021-06-04","1ra"
2955,"Buenos Aires","2021-06-04","2da"
78796,"Buenos Aires","2021-06-05","1ra"
3820,"Buenos Aires","2021-06-05","2da"
65273,"Buenos Aires","2021-06-06","1ra"
6382,"Buenos Aires","2021-06-06","2da"
90543,"Buenos Aires","2021-06-07","1ra"
9459,"Buenos Aires","2021-06-07","2da"
88537,"Buenos Aires","2021-06-08","1ra"
6738,"Buenos Aires","2021-06-08","2da"
109734,"Buenos Aires","2021-06-09","1ra"
3896,"Buenos Aires","2021-06-09","2da"
96953,"Buenos Aires","2021-06-10","1ra"
2585,"Buenos Aires","2021-06-10","2da"
92541,"Buenos Aires","2021-06-11","1ra"
2403,"Buenos Aires","2021-06-11","2da"
8269,"Buenos Aires","2021-06-12","1ra"
20068,"Buenos Aires","2021-06-12","2da"
3802,"Buenos Aires","2021-06-13","1ra"
24588,"Buenos Aires","2021-06-13","2da"
20510,"Buenos Aires","2021-06-14","1ra"
27258,"Buenos Aires","2021-06-14","2da"
44129,"Buenos Aires","2021-06-15","1ra"
31319,"Buenos Aires","2021-06-15","2da"
59373,"Buenos Aires","2021-06-16","1ra"
26786,"Buenos Aires","2021-06-16","2da"
73034,"Buenos Aires","2021-06-17","1ra"
15746,"Buenos Aires","2021-06-17","2da"
93307,"Buenos Aires","2021-06-18","1ra"
8134,"Buenos Aires","2021-06-18","2da"
1,"Buenos Aires","2021-06-18","Adicional"
90670,"Buenos Aires","2021-06-19","1ra"
2654,"Buenos Aires","2021-06-19","2da"
67263,"Buenos Aires","2021-06-20","1ra"
2363,"Buenos Aires","2021-06-20","2da"
52641,"Buenos Aires","2021-06-21","1ra"
8186,"Buenos Aires","2021-06-21","2da"
86222,"Buenos Aires","2021-06-22","1ra"
5506,"Buenos Aires","2021-06-22","2da"
71410,"Buenos Aires","2021-06-23","1ra"
9351,"Buenos Aires","2021-06-23","2da"
63154,"Buenos Aires","2021-06-24","1ra"
13575,"Buenos Aires","2021-06-24","2da"
62776,"Buenos Aires","2021-06-25","1ra"
13490,"Buenos Aires","2021-06-25","2da"
70727,"Buenos Aires","2021-06-26","1ra"
12647,"Buenos Aires","2021-06-26","2da"
1,"Buenos Aires","2021-06-26","Adicional"
56876,"Buenos Aires","2021-06-27","1ra"
9228,"Buenos Aires","2021-06-27","2da"
73943,"Buenos Aires","2021-06-28","1ra"
9207,"Buenos Aires","2021-06-28","2da"
73940,"Buenos Aires","2021-06-29","1ra"
7711,"Buenos Aires","2021-06-29","2da"
81829,"Buenos Aires","2021-06-30","1ra"
5320,"Buenos Aires","2021-06-30","2da"
53806,"Buenos Aires","2021-07-01","1ra"
71835,"Buenos Aires","2021-07-01","2da"
91609,"Buenos Aires","2021-07-02","1ra"
34572,"Buenos Aires","2021-07-02","2da"
122075,"Buenos Aires","2021-07-03","1ra"
12383,"Buenos Aires","2021-07-03","2da"
110718,"Buenos Aires","2021-07-04","1ra"
6061,"Buenos Aires","2021-07-04","2da"
56661,"Buenos Aires","2021-07-05","1ra"
96178,"Buenos Aires","2021-07-05","2da"
66732,"Buenos Aires","2021-07-06","1ra"
79114,"Buenos Aires","2021-07-06","2da"
82726,"Buenos Aires","2021-07-07","1ra"
67028,"Buenos Aires","2021-07-07","2da"
138332,"Buenos Aires","2021-07-08","1ra"
3464,"Buenos Aires","2021-07-08","2da"
94211,"Buenos Aires","2021-07-09","1ra"
77938,"Buenos Aires","2021-07-09","2da"
143287,"Buenos Aires","2021-07-10","1ra"
19180,"Buenos Aires","2021-07-10","2da"
1,"Buenos Aires","2021-07-10","Adicional"
97384,"Buenos Aires","2021-07-11","1ra"
1869,"Buenos Aires","2021-07-11","2da"
130595,"Buenos Aires","2021-07-12","1ra"
5045,"Buenos Aires","2021-07-12","2da"
130155,"Buenos Aires","2021-07-13","1ra"
4139,"Buenos Aires","2021-07-13","2da"
141865,"Buenos Aires","2021-07-14","1ra"
2921,"Buenos Aires","2021-07-14","2da"
126495,"Buenos Aires","2021-07-15","1ra"
2430,"Buenos Aires","2021-07-15","2da"
116580,"Buenos Aires","2021-07-16","1ra"
2282,"Buenos Aires","2021-07-16","2da"
101705,"Buenos Aires","2021-07-17","1ra"
6674,"Buenos Aires","2021-07-17","2da"
76964,"Buenos Aires","2021-07-18","1ra"
2390,"Buenos Aires","2021-07-18","2da"
112138,"Buenos Aires","2021-07-19","1ra"
9348,"Buenos Aires","2021-07-19","2da"
45193,"Buenos Aires","2021-07-20","1ra"
111924,"Buenos Aires","2021-07-20","2da"
1,"Buenos Aires","2021-07-20","Adicional"
1,"Buenos Aires","2021-07-20","Refuerzo"
85312,"Buenos Aires","2021-07-21","1ra"
46165,"Buenos Aires","2021-07-21","2da"
4,"Buenos Aires","2021-07-21","Refuerzo"
98581,"Buenos Aires","2021-07-22","1ra"
15603,"Buenos Aires","2021-07-22","2da"
102055,"Buenos Aires","2021-07-23","1ra"
6034,"Buenos Aires","2021-07-23","2da"
82964,"Buenos Aires","2021-07-24","1ra"
3864,"Buenos Aires","2021-07-24","2da"
68770,"Buenos Aires","2021-07-25","1ra"
538,"Buenos Aires","2021-07-25","2da"
106423,"Buenos Aires","2021-07-26","1ra"
3857,"Buenos Aires","2021-07-26","2da"
1,"Buenos Aires","2021-07-26","Refuerzo"
51377,"Buenos Aires","2021-07-27","1ra"
62055,"Buenos Aires","2021-07-27","2da"
1,"Buenos Aires","2021-07-27","Adicional"
56213,"Buenos Aires","2021-07-28","1ra"
61265,"Buenos Aires","2021-07-28","2da"
1,"Buenos Aires","2021-07-28","Adicional"
1,"Buenos Aires","2021-07-28","Refuerzo"
54761,"Buenos Aires","2021-07-29","1ra"
50811,"Buenos Aires","2021-07-29","2da"
75756,"Buenos Aires","2021-07-30","1ra"
52716,"Buenos Aires","2021-07-30","2da"
1,"Buenos Aires","2021-07-30","Adicional"
63204,"Buenos Aires","2021-07-31","1ra"
53450,"Buenos Aires","2021-07-31","2da"
