"jurisdiccion_aplicacion","grupo_etario","sexo","nombre_dosis_generica",cantidad
"Salta","90-99","F","Refuerzo","169"
"Salta","90-99","F","Unica","2"
"Salta","90-99","M","1ra","800"
"Salta","90-99","M","2da","683"
"Salta","90-99","M","Adicional","90"
"Salta","90-99","M","Refuerzo","101"
"Salta","90-99","S.I.","1ra","50"
"Salta","90-99","S.I.","2da","42"
"Salta","90-99","S.I.","Adicional","6"
"Salta","90-99","S.I.","Refuerzo","5"
"Salta","<12","F","1ra","56100"
"Salta","<12","F","2da","21854"
"Salta","<12","F","Adicional","2"
"Salta","<12","F","Refuerzo","4"
"Salta","<12","M","1ra","55599"
"Salta","<12","M","2da","20795"
"Salta","<12","M","Adicional","3"
"Salta","<12","M","Refuerzo","1"
"Salta","<12","S.I.","1ra","2743"
"Salta","<12","S.I.","2da","1001"
"Salta","<12","X","1ra","2"
"Salta",">=100","F","1ra","36"
"Salta",">=100","F","2da","34"
"Salta",">=100","F","Adicional","5"
"Salta",">=100","F","Refuerzo","6"
"Salta",">=100","M","1ra","5"
"Salta",">=100","M","2da","4"
"Salta",">=100","M","Adicional","1"
"Salta",">=100","M","Refuerzo","1"
"Salta",">=100","S.I.","1ra","3"
"Salta",">=100","S.I.","2da","2"
"Salta",">=100","S.I.","Adicional","1"
"San Juan","12-17","F","1ra","32077"
"San Juan","12-17","F","2da","23607"
"San Juan","12-17","F","Adicional","11"
"San Juan","12-17","F","Refuerzo","41"
"San Juan","12-17","M","1ra","31692"
"San Juan","12-17","M","2da","23014"
"San Juan","12-17","M","Adicional","3"
"San Juan","12-17","M","Refuerzo","30"
"San Juan","12-17","S.I.","1ra","1021"
"San Juan","12-17","S.I.","2da","623"
"San Juan","12-17","S.I.","Adicional","1"
"San Juan","12-17","S.I.","Refuerzo","1"
"San Juan","18-29","F","1ra","70797"
"San Juan","18-29","F","2da","59643"
"San Juan","18-29","F","Adicional","330"
"San Juan","18-29","F","Refuerzo","1355"
"San Juan","18-29","F","Unica","20"
"San Juan","18-29","M","1ra","68494"
"San Juan","18-29","M","2da","53786"
"San Juan","18-29","M","Adicional","180"
"San Juan","18-29","M","Refuerzo","552"
"San Juan","18-29","M","Unica","32"
"San Juan","18-29","S.I.","1ra","1173"
"San Juan","18-29","S.I.","2da","803"
"San Juan","18-29","S.I.","Adicional","3"
"San Juan","18-29","S.I.","Refuerzo","3"
"San Juan","30-39","F","1ra","50343"
"San Juan","30-39","F","2da","45183"
"San Juan","30-39","F","Adicional","554"
"San Juan","30-39","F","Refuerzo","3235"
"San Juan","30-39","F","Unica","11"
"San Juan","30-39","M","1ra","49114"
"San Juan","30-39","M","2da","42027"
"San Juan","30-39","M","Adicional","287"
"San Juan","30-39","M","Refuerzo","1510"
"San Juan","30-39","M","Unica","15"
"San Juan","30-39","S.I.","1ra","767"
"San Juan","30-39","S.I.","2da","544"
"San Juan","30-39","S.I.","Adicional","3"
"San Juan","30-39","S.I.","Refuerzo","24"
"San Juan","40-49","F","1ra","46665"
"San Juan","40-49","F","2da","43519"
"San Juan","40-49","F","Adicional","829"
"San Juan","40-49","F","Refuerzo","4330"
"San Juan","40-49","F","Unica","9"
"San Juan","40-49","M","1ra","44708"
"San Juan","40-49","M","2da","40649"
"San Juan","40-49","M","Adicional","449"
"San Juan","40-49","M","Refuerzo","2192"
"San Juan","40-49","M","Unica","7"
"San Juan","40-49","S.I.","1ra","795"
"San Juan","40-49","S.I.","2da","644"
"San Juan","40-49","S.I.","Adicional","7"
"San Juan","40-49","S.I.","Refuerzo","42"
"San Juan","50-59","F","1ra","34343"
"San Juan","50-59","F","2da","32379"
"San Juan","50-59","F","Adicional","4405"
"San Juan","50-59","F","Refuerzo","2315"
"San Juan","50-59","F","Unica","2"
"San Juan","50-59","M","1ra","31705"
"San Juan","50-59","M","2da","29379"
"San Juan","50-59","M","Adicional","3031"
"San Juan","50-59","M","Refuerzo","1378"
"San Juan","50-59","M","Unica","5"
"San Juan","50-59","S.I.","1ra","505"
"San Juan","50-59","S.I.","2da","398"
"San Juan","50-59","S.I.","Adicional","38"
"San Juan","50-59","S.I.","Refuerzo","9"
"San Juan","60-69","F","1ra","29688"
"San Juan","60-69","F","2da","28484"
"San Juan","60-69","F","Adicional","6526"
"San Juan","60-69","F","Refuerzo","3978"
"San Juan","60-69","F","Unica","3"
"San Juan","60-69","M","1ra","25474"
"San Juan","60-69","M","2da","24268"
"San Juan","60-69","M","Adicional","5355"
"San Juan","60-69","M","Refuerzo","3333"
"San Juan","60-69","M","Unica","7"
"San Juan","60-69","S.I.","1ra","634"
"San Juan","60-69","S.I.","2da","501"
"San Juan","60-69","S.I.","Adicional","83"
"San Juan","60-69","S.I.","Refuerzo","57"
"San Juan","70-79","F","1ra","20306"
"San Juan","70-79","F","2da","19252"
"San Juan","70-79","F","Adicional","2075"
"San Juan","70-79","F","Refuerzo","3481"
"San Juan","70-79","F","Unica","1"
"San Juan","70-79","M","1ra","15603"
"San Juan","70-79","M","2da","14744"
"San Juan","70-79","M","Adicional","1581"
"San Juan","70-79","M","Refuerzo","2482"
"San Juan","70-79","M","Unica","3"
"San Juan","70-79","S.I.","1ra","675"
"San Juan","70-79","S.I.","2da","566"
"San Juan","70-79","S.I.","Adicional","68"
"San Juan","70-79","S.I.","Refuerzo","110"
"San Juan","80-89","F","1ra","7655"
"San Juan","80-89","F","2da","7246"
"San Juan","80-89","F","Adicional","1062"
"San Juan","80-89","F","Refuerzo","2365"
"San Juan","80-89","F","Unica","1"
"San Juan","80-89","M","1ra","4536"
"San Juan","80-89","M","2da","4321"
"San Juan","80-89","M","Adicional","716"
"San Juan","80-89","M","Refuerzo","1471"
"San Juan","80-89","M","Unica","1"
"San Juan","80-89","S.I.","1ra","262"
"San Juan","80-89","S.I.","2da","229"
"San Juan","80-89","S.I.","Adicional","25"
"San Juan","80-89","S.I.","Refuerzo","64"
"San Juan","90-99","F","1ra","1117"
"San Juan","90-99","F","2da","1045"
"San Juan","90-99","F","Adicional","149"
"San Juan","90-99","F","Refuerzo","371"
"San Juan","90-99","M","1ra","454"
"San Juan","90-99","M","2da","414"
"San Juan","90-99","M","Adicional","78"
"San Juan","90-99","M","Refuerzo","147"
"San Juan","90-99","S.I.","1ra","74"
"San Juan","90-99","S.I.","2da","61"
"San Juan","90-99","S.I.","Adicional","7"
"San Juan","90-99","S.I.","Refuerzo","20"
"San Juan","<12","F","1ra","37978"
"San Juan","<12","F","2da","23035"
"San Juan","<12","F","Adicional","2"
"San Juan","<12","F","Refuerzo","10"
"San Juan","<12","M","1ra","38625"
"San Juan","<12","M","2da","23014"
"San Juan","<12","M","Adicional","2"
"San Juan","<12","M","Refuerzo","14"
"San Juan","<12","S.I.","1ra","5236"
"San Juan","<12","S.I.","2da","3185"
"San Juan","<12","S.I.","Refuerzo","2"
"San Juan","<12","X","1ra","1"
"San Juan",">=100","F","1ra","24"
"San Juan",">=100","F","2da","19"
"San Juan",">=100","F","Adicional","1"
"San Juan",">=100","F","Refuerzo","5"
"San Juan",">=100","M","1ra","5"
"San Juan",">=100","M","2da","4"
"San Juan",">=100","M","Refuerzo","1"
"San Luis","12-17","F","1ra","21344"
"San Luis","12-17","F","2da","18819"
"San Luis","12-17","F","Unica","1"
"San Luis","12-17","M","1ra","21110"
"San Luis","12-17","M","2da","18224"
"San Luis","18-29","F","1ra","46299"
"San Luis","18-29","F","2da","42746"
"San Luis","18-29","F","Adicional","292"
"San Luis","18-29","F","Refuerzo","851"
"San Luis","18-29","F","Unica","999"
"San Luis","18-29","M","1ra","44095"
"San Luis","18-29","M","2da","39595"
"San Luis","18-29","M","Adicional","218"
"San Luis","18-29","M","Refuerzo","545"
"San Luis","18-29","M","Unica","1297"
"San Luis","30-39","F","1ra","35101"
"San Luis","30-39","F","2da","33956"
"San Luis","30-39","F","Adicional","691"
"San Luis","30-39","F","Refuerzo","2026"
"San Luis","30-39","F","Unica","377"
"San Luis","30-39","M","1ra","33693"
"San Luis","30-39","M","2da","32118"
"San Luis","30-39","M","Adicional","563"
"San Luis","30-39","M","Refuerzo","1184"
"San Luis","30-39","M","Unica","507"
"San Luis","40-49","F","1ra","32670"
"San Luis","40-49","F","2da","31856"
"San Luis","40-49","F","Adicional","1923"
"San Luis","40-49","F","Refuerzo","3712"
"San Luis","40-49","F","Unica","245"
"San Luis","40-49","M","1ra","31943"
"San Luis","40-49","M","2da","30941"
"San Luis","40-49","M","Adicional","1210"
"San Luis","40-49","M","Refuerzo","2186"
"San Luis","40-49","M","Unica","357"
"San Luis","50-59","F","1ra","24066"
"San Luis","50-59","F","2da","23794"
"San Luis","50-59","F","Adicional","5458"
"San Luis","50-59","F","Refuerzo","1997"
"San Luis","50-59","F","Unica","129"
"San Luis","50-59","M","1ra","23942"
"San Luis","50-59","M","2da","23454"
"San Luis","50-59","M","Adicional","4440"
"San Luis","50-59","M","Refuerzo","1602"
"San Luis","50-59","M","Unica","207"
"San Luis","60-69","F","1ra","19183"
"San Luis","60-69","F","2da","19024"
"San Luis","60-69","F","Adicional","7166"
"San Luis","60-69","F","Refuerzo","2925"
"San Luis","60-69","F","Unica","66"
"San Luis","60-69","M","1ra","18162"
"San Luis","60-69","M","2da","17893"
"San Luis","60-69","M","Adicional","6221"
"San Luis","60-69","M","Refuerzo","2635"
"San Luis","60-69","M","Unica","82"
"San Luis","70-79","F","1ra","12699"
"San Luis","70-79","F","2da","12630"
"San Luis","70-79","F","Adicional","4562"
"San Luis","70-79","F","Refuerzo","3283"
"San Luis","70-79","F","Unica","41"
"San Luis","70-79","M","1ra","10504"
"San Luis","70-79","M","2da","10412"
"San Luis","70-79","M","Adicional","3593"
"San Luis","70-79","M","Refuerzo","2715"
"San Luis","70-79","M","Unica","41"
"San Luis","80-89","F","1ra","5035"
"San Luis","80-89","F","2da","4932"
"San Luis","80-89","F","Adicional","1951"
"San Luis","80-89","F","Refuerzo","1018"
"San Luis","80-89","F","Unica","20"
"San Luis","80-89","M","1ra","3049"
"San Luis","80-89","M","2da","2975"
"San Luis","80-89","M","Adicional","1252"
"San Luis","80-89","M","Refuerzo","579"
"San Luis","80-89","M","Unica","17"
"San Luis","90-99","F","1ra","937"
"San Luis","90-99","F","2da","918"
"San Luis","90-99","F","Adicional","244"
"San Luis","90-99","F","Refuerzo","220"
"San Luis","90-99","F","Unica","1"
"San Luis","90-99","M","1ra","331"
"San Luis","90-99","M","2da","331"
"San Luis","90-99","M","Adicional","107"
"San Luis","90-99","M","Refuerzo","76"
"San Luis","90-99","M","Unica","1"
"San Luis","<12","F","1ra","24699"
"San Luis","<12","F","2da","18642"
"San Luis","<12","M","1ra","25434"
"San Luis","<12","M","2da","18925"
"San Luis",">=100","F","1ra","26"
"San Luis",">=100","F","2da","20"
"San Luis",">=100","F","Adicional","3"
"San Luis",">=100","F","Refuerzo","9"
"San Luis",">=100","F","Unica","1"
"San Luis",">=100","M","1ra","7"
"San Luis",">=100","M","2da","5"
"San Luis",">=100","M","Adicional","2"
"San Luis",">=100","M","Refuerzo","1"
"Santa Cruz","12-17","F","1ra","14416"
"Santa Cruz","12-17","F","2da","10531"
"Santa Cruz","12-17","F","Adicional","29"
"Santa Cruz","12-17","F","Refuerzo","36"
"Santa Cruz","12-17","F","Unica","1"
"Santa Cruz","12-17","M","1ra","14555"
"Santa Cruz","12-17","M","2da","10347"
"Santa Cruz","12-17","M","Adicional","37"
"Santa Cruz","12-17","M","Refuerzo","42"
"Santa Cruz","12-17","M","Unica","1"
"Santa Cruz","12-17","S.I.","1ra","351"
"Santa Cruz","12-17","S.I.","2da","220"
"Santa Cruz","12-17","S.I.","Refuerzo","1"
"Santa Cruz","18-29","F","1ra","28902"
"Santa Cruz","18-29","F","2da","23123"
"Santa Cruz","18-29","F","Adicional","88"
"Santa Cruz","18-29","F","Refuerzo","1441"
"Santa Cruz","18-29","F","Unica","310"
"Santa Cruz","18-29","M","1ra","29395"
"Santa Cruz","18-29","M","2da","21905"
"Santa Cruz","18-29","M","Adicional","61"
"Santa Cruz","18-29","M","Refuerzo","1038"
"Santa Cruz","18-29","M","Unica","423"
"Santa Cruz","18-29","S.I.","1ra","375"
"Santa Cruz","18-29","S.I.","2da","255"
"Santa Cruz","18-29","S.I.","Adicional","1"
"Santa Cruz","18-29","S.I.","Refuerzo","14"
"Santa Cruz","18-29","S.I.","Unica","8"
"Santa Cruz","30-39","F","1ra","26452"
"Santa Cruz","30-39","F","2da","23637"
"Santa Cruz","30-39","F","Adicional","168"
"Santa Cruz","30-39","F","Refuerzo","3314"
"Santa Cruz","30-39","F","Unica","201"
"Santa Cruz","30-39","M","1ra","27437"
"Santa Cruz","30-39","M","2da","23297"
"Santa Cruz","30-39","M","Adicional","139"
"Santa Cruz","30-39","M","Refuerzo","2493"
"Santa Cruz","30-39","M","Unica","270"
"Santa Cruz","30-39","S.I.","1ra","272"
"Santa Cruz","30-39","S.I.","2da","203"
"Santa Cruz","30-39","S.I.","Adicional","1"
"Santa Cruz","30-39","S.I.","Refuerzo","16"
"Santa Cruz","30-39","S.I.","Unica","5"
"Santa Cruz","40-49","F","1ra","21395"
"Santa Cruz","40-49","F","2da","20081"
"Santa Cruz","40-49","F","Adicional","306"
"Santa Cruz","40-49","F","Refuerzo","3250"
"Santa Cruz","40-49","F","Unica","118"
"Santa Cruz","40-49","M","1ra","23113"
"Santa Cruz","40-49","M","2da","20953"
"Santa Cruz","40-49","M","Adicional","264"
"Santa Cruz","40-49","M","Refuerzo","2641"
"Santa Cruz","40-49","M","Unica","170"
"Santa Cruz","40-49","S.I.","1ra","243"
"Santa Cruz","40-49","S.I.","2da","199"
"Santa Cruz","40-49","S.I.","Adicional","1"
"Santa Cruz","40-49","S.I.","Refuerzo","29"
"Santa Cruz","40-49","S.I.","Unica","1"
"Santa Cruz","50-59","F","1ra","14251"
"Santa Cruz","50-59","F","2da","13654"
"Santa Cruz","50-59","F","Adicional","1455"
"Santa Cruz","50-59","F","Refuerzo","1613"
"Santa Cruz","50-59","F","Unica","58"
"Santa Cruz","50-59","M","1ra","14736"
"Santa Cruz","50-59","M","2da","13837"
"Santa Cruz","50-59","M","Adicional","1412"
"Santa Cruz","50-59","M","Refuerzo","1302"
"Santa Cruz","50-59","M","Unica","88"
"Santa Cruz","50-59","S.I.","1ra","196"
"Santa Cruz","50-59","S.I.","2da","167"
"Santa Cruz","50-59","S.I.","Adicional","17"
"Santa Cruz","50-59","S.I.","Refuerzo","14"
"Santa Cruz","50-59","S.I.","Unica","2"
"Santa Cruz","60-69","F","1ra","9730"
"Santa Cruz","60-69","F","2da","9493"
"Santa Cruz","60-69","F","Adicional","2065"
"Santa Cruz","60-69","F","Refuerzo","1222"
"Santa Cruz","60-69","F","Unica","26"
"Santa Cruz","60-69","M","1ra","9805"
"Santa Cruz","60-69","M","2da","9485"
"Santa Cruz","60-69","M","Adicional","2206"
"Santa Cruz","60-69","M","Refuerzo","1144"
"Santa Cruz","60-69","M","Unica","30"
"Santa Cruz","60-69","S.I.","1ra","109"
"Santa Cruz","60-69","S.I.","2da","95"
"Santa Cruz","60-69","S.I.","Adicional","18"
"Santa Cruz","60-69","S.I.","Refuerzo","11"
"Santa Cruz","70-79","F","1ra","5133"
"Santa Cruz","70-79","F","2da","5022"
"Santa Cruz","70-79","F","Adicional","637"
"Santa Cruz","70-79","F","Refuerzo","1135"
"Santa Cruz","70-79","F","Unica","14"
"Santa Cruz","70-79","M","1ra","4288"
"Santa Cruz","70-79","M","2da","4227"
"Santa Cruz","70-79","M","Adicional","633"
"Santa Cruz","70-79","M","Refuerzo","1035"
"Santa Cruz","70-79","M","Unica","10"
"Santa Cruz","70-79","S.I.","1ra","63"
"Santa Cruz","70-79","S.I.","2da","53"
"Santa Cruz","70-79","S.I.","Adicional","5"
"Santa Cruz","70-79","S.I.","Refuerzo","9"
"Santa Cruz","70-79","S.I.","Unica","1"
"Santa Cruz","80-89","F","1ra","2024"
"Santa Cruz","80-89","F","2da","1976"
"Santa Cruz","80-89","F","Adicional","303"
"Santa Cruz","80-89","F","Refuerzo","439"
"Santa Cruz","80-89","F","Unica","6"
"Santa Cruz","80-89","M","1ra","1388"
"Santa Cruz","80-89","M","2da","1326"
"Santa Cruz","80-89","M","Adicional","245"
"Santa Cruz","80-89","M","Refuerzo","355"
"Santa Cruz","80-89","M","Unica","4"
"Santa Cruz","80-89","S.I.","1ra","39"
"Santa Cruz","80-89","S.I.","2da","35"
"Santa Cruz","80-89","S.I.","Adicional","3"
"Santa Cruz","80-89","S.I.","Refuerzo","6"
"Santa Cruz","80-89","S.I.","Unica","1"
"Santa Cruz","90-99","F","1ra","281"
"Santa Cruz","90-99","F","2da","261"
"Santa Cruz","90-99","F","Adicional","32"
"Santa Cruz","90-99","F","Refuerzo","64"
"Santa Cruz","90-99","M","1ra","133"
"Santa Cruz","90-99","M","2da","128"
"Santa Cruz","90-99","M","Adicional","25"
"Santa Cruz","90-99","M","Refuerzo","29"
"Santa Cruz","90-99","S.I.","1ra","15"
"Santa Cruz","90-99","S.I.","2da","15"
"Santa Cruz","90-99","S.I.","Adicional","1"
"Santa Cruz","90-99","S.I.","Refuerzo","2"
"Santa Cruz","<12","F","1ra","16516"
"Santa Cruz","<12","F","2da","8998"
"Santa Cruz","<12","F","Refuerzo","22"
"Santa Cruz","<12","M","1ra","16642"
"Santa Cruz","<12","M","2da","9045"
"Santa Cruz","<12","M","Adicional","8"
"Santa Cruz","<12","M","Refuerzo","31"
"Santa Cruz","<12","S.I.","1ra","438"
"Santa Cruz","<12","S.I.","2da","220"
"Santa Cruz","<12","S.I.","Refuerzo","1"
"Santa Cruz",">=100","F","1ra","4"
"Santa Cruz",">=100","F","2da","4"
"Santa Cruz",">=100","F","Adicional","1"
"Santa Cruz",">=100","F","Refuerzo","1"
"Santa Cruz",">=100","M","1ra","3"
"Santa Cruz",">=100","M","2da","2"
"Santa Fe","12-17","F","1ra","129779"
"Santa Fe","12-17","F","2da","101679"
"Santa Fe","12-17","F","Adicional","35"
"Santa Fe","12-17","F","Unica","1"
"Santa Fe","12-17","M","1ra","130514"
"Santa Fe","12-17","M","2da","100880"
"Santa Fe","12-17","M","Adicional","51"
"Santa Fe","12-17","M","Unica","2"
"Santa Fe","18-29","F","1ra","292988"
"Santa Fe","18-29","F","2da","255702"
"Santa Fe","18-29","F","Adicional","1453"
"Santa Fe","18-29","F","Refuerzo","5347"
"Santa Fe","18-29","F","Unica","4189"
"Santa Fe","18-29","M","1ra","274472"
"Santa Fe","18-29","M","2da","228117"
"Santa Fe","18-29","M","Adicional","1134"
"Santa Fe","18-29","M","Refuerzo","2066"
"Santa Fe","18-29","M","Unica","4767"
"Santa Fe","18-29","S.I.","1ra","2"
"Santa Fe","30-39","F","1ra","251138"
"Santa Fe","30-39","F","2da","234746"
"Santa Fe","30-39","F","Adicional","3103"
"Santa Fe","30-39","F","Refuerzo","14419"
"Santa Fe","30-39","F","Unica","1832"
"Santa Fe","30-39","M","1ra","240606"
"Santa Fe","30-39","M","2da","218258"
"Santa Fe","30-39","M","Adicional","2039"
"Santa Fe","30-39","M","Refuerzo","5121"
"Santa Fe","30-39","M","Unica","2073"
"Santa Fe","30-39","S.I.","1ra","3"
"Santa Fe","40-49","F","1ra","223878"
"Santa Fe","40-49","F","2da","215270"
"Santa Fe","40-49","F","Adicional","5732"
"Santa Fe","40-49","F","Refuerzo","16255"
"Santa Fe","40-49","F","Unica","994"
"Santa Fe","40-49","M","1ra","215776"
"Santa Fe","40-49","M","2da","204421"
"Santa Fe","40-49","M","Adicional","2865"
"Santa Fe","40-49","M","Refuerzo","5971"
"Santa Fe","40-49","M","Unica","1068"
"Santa Fe","40-49","S.I.","1ra","2"
"Santa Fe","50-59","F","1ra","173541"
"Santa Fe","50-59","F","2da","168612"
"Santa Fe","50-59","F","Adicional","32489"
"Santa Fe","50-59","F","Refuerzo","6272"
"Santa Fe","50-59","F","Unica","480"
"Santa Fe","50-59","M","1ra","164666"
"Santa Fe","50-59","M","2da","158066"
"Santa Fe","50-59","M","Adicional","17043"
"Santa Fe","50-59","M","Refuerzo","3204"
"Santa Fe","50-59","M","Unica","507"
"Santa Fe","60-69","F","1ra","153455"
"Santa Fe","60-69","F","2da","149169"
"Santa Fe","60-69","F","Adicional","15070"
"Santa Fe","60-69","F","Refuerzo","4682"
"Santa Fe","60-69","F","Unica","234"
"Santa Fe","60-69","M","1ra","136581"
"Santa Fe","60-69","M","2da","132095"
"Santa Fe","60-69","M","Adicional","12515"
"Santa Fe","60-69","M","Refuerzo","3623"
"Santa Fe","60-69","M","Unica","239"
"Santa Fe","60-69","S.I.","1ra","1"
"Santa Fe","70-79","F","1ra","111420"
"Santa Fe","70-79","F","2da","108921"
"Santa Fe","70-79","F","Adicional","31417"
"Santa Fe","70-79","F","Refuerzo","9617"
"Santa Fe","70-79","F","Unica","143"
"Santa Fe","70-79","M","1ra","82191"
"Santa Fe","70-79","M","2da","80472"
"Santa Fe","70-79","M","Adicional","24238"
"Santa Fe","70-79","M","Refuerzo","6818"
"Santa Fe","70-79","M","Unica","108"
"Santa Fe","80-89","F","1ra","55917"
"Santa Fe","80-89","F","2da","54314"
"Santa Fe","80-89","F","Adicional","20930"
"Santa Fe","80-89","F","Refuerzo","10222"
"Santa Fe","80-89","F","Unica","101"
"Santa Fe","80-89","M","1ra","29161"
"Santa Fe","80-89","M","2da","28257"
"Santa Fe","80-89","M","Adicional","11445"
"Santa Fe","80-89","M","Refuerzo","4784"
"Santa Fe","80-89","M","Unica","37"
"Santa Fe","90-99","F","1ra","11338"
"Santa Fe","90-99","F","2da","11028"
"Santa Fe","90-99","F","Adicional","4426"
"Santa Fe","90-99","F","Refuerzo","2586"
"Santa Fe","90-99","F","Unica","34"
"Santa Fe","90-99","M","1ra","3423"
"Santa Fe","90-99","M","2da","3271"
"Santa Fe","90-99","M","Adicional","1514"
"Santa Fe","90-99","M","Refuerzo","608"
"Santa Fe","90-99","M","Unica","7"
"Santa Fe","<12","F","1ra","175251"
"Santa Fe","<12","F","2da","116749"
"Santa Fe","<12","F","Adicional","23"
"Santa Fe","<12","F","Unica","1"
"Santa Fe","<12","M","1ra","180025"
"Santa Fe","<12","M","2da","119149"
"Santa Fe","<12","M","Adicional","19"
"Santa Fe",">=100","F","1ra","234"
"Santa Fe",">=100","F","2da","219"
"Santa Fe",">=100","F","Adicional","77"
"Santa Fe",">=100","F","Refuerzo","65"
"Santa Fe",">=100","M","1ra","48"
"Santa Fe",">=100","M","2da","41"
"Santa Fe",">=100","M","Adicional","9"
"Santa Fe",">=100","M","Refuerzo","6"
"Santa Fe","S.I.","F","1ra","6"
"Santa Fe","S.I.","F","2da","3"
"Santa Fe","S.I.","M","1ra","4"
"Santa Fe","S.I.","M","2da","2"
"Santiago del Estero","12-17","F","1ra","46821"
"Santiago del Estero","12-17","F","2da","32244"
"Santiago del Estero","12-17","F","Adicional","7"
"Santiago del Estero","12-17","F","Refuerzo","3"
"Santiago del Estero","12-17","F","Unica","15"
"Santiago del Estero","12-17","M","1ra","45904"
"Santiago del Estero","12-17","M","2da","30120"
"Santiago del Estero","12-17","M","Adicional","4"
"Santiago del Estero","12-17","M","Refuerzo","7"
"Santiago del Estero","12-17","M","Unica","16"
"Santiago del Estero","12-17","S.I.","1ra","1149"
"Santiago del Estero","12-17","S.I.","2da","644"
"Santiago del Estero","12-17","S.I.","Adicional","1"
"Santiago del Estero","18-29","F","1ra","108285"
"Santiago del Estero","18-29","F","2da","95489"
"Santiago del Estero","18-29","F","Adicional","529"
"Santiago del Estero","18-29","F","Refuerzo","947"
"Santiago del Estero","18-29","F","Unica","1525"
"Santiago del Estero","18-29","M","1ra","104428"
"Santiago del Estero","18-29","M","2da","87407"
"Santiago del Estero","18-29","M","Adicional","358"
"Santiago del Estero","18-29","M","Refuerzo","602"
"Santiago del Estero","18-29","M","Unica","2135"
"Santiago del Estero","18-29","S.I.","1ra","651"
"Santiago del Estero","18-29","S.I.","2da","458"
"Santiago del Estero","18-29","S.I.","Adicional","1"
"Santiago del Estero","18-29","S.I.","Refuerzo","3"
"Santiago del Estero","18-29","S.I.","Unica","30"
"Santiago del Estero","30-39","F","1ra","71527"
"Santiago del Estero","30-39","F","2da","66164"
"Santiago del Estero","30-39","F","Adicional","831"
"Santiago del Estero","30-39","F","Refuerzo","2687"
"Santiago del Estero","30-39","F","Unica","654"
"Santiago del Estero","30-39","M","1ra","68538"
"Santiago del Estero","30-39","M","2da","61024"
"Santiago del Estero","30-39","M","Adicional","583"
"Santiago del Estero","30-39","M","Refuerzo","1363"
"Santiago del Estero","30-39","M","Unica","956"
"Santiago del Estero","30-39","S.I.","1ra","441"
"Santiago del Estero","30-39","S.I.","2da","286"
"Santiago del Estero","30-39","S.I.","Adicional","2"
"Santiago del Estero","30-39","S.I.","Refuerzo","8"
"Santiago del Estero","30-39","S.I.","Unica","12"
"Santiago del Estero","40-49","F","1ra","60875"
"Santiago del Estero","40-49","F","2da","57430"
"Santiago del Estero","40-49","F","Adicional","1527"
"Santiago del Estero","40-49","F","Refuerzo","3558"
"Santiago del Estero","40-49","F","Unica","473"
"Santiago del Estero","40-49","M","1ra","59510"
"Santiago del Estero","40-49","M","2da","54585"
"Santiago del Estero","40-49","M","Adicional","1218"
"Santiago del Estero","40-49","M","Refuerzo","1810"
"Santiago del Estero","40-49","M","Unica","630"
"Santiago del Estero","40-49","S.I.","1ra","332"
"Santiago del Estero","40-49","S.I.","2da","234"
"Santiago del Estero","40-49","S.I.","Adicional","2"
"Santiago del Estero","40-49","S.I.","Refuerzo","12"
"Santiago del Estero","40-49","S.I.","Unica","10"
"Santiago del Estero","50-59","F","1ra","40939"
"Santiago del Estero","50-59","F","2da","39186"
"Santiago del Estero","50-59","F","Adicional","6818"
"Santiago del Estero","50-59","F","Refuerzo","1882"
"Santiago del Estero","50-59","F","Unica","216"
"Santiago del Estero","50-59","M","1ra","41157"
"Santiago del Estero","50-59","M","2da","38455"
"Santiago del Estero","50-59","M","Adicional","4658"
"Santiago del Estero","50-59","M","Refuerzo","1132"
"Santiago del Estero","50-59","M","Unica","338"
"Santiago del Estero","50-59","S.I.","1ra","202"
"Santiago del Estero","50-59","S.I.","2da","143"
"Santiago del Estero","50-59","S.I.","Adicional","11"
"Santiago del Estero","50-59","S.I.","Refuerzo","6"
"Santiago del Estero","50-59","S.I.","Unica","8"
"Santiago del Estero","60-69","F","1ra","33664"
"Santiago del Estero","60-69","F","2da","32423"
"Santiago del Estero","60-69","F","Adicional","8453"
"Santiago del Estero","60-69","F","Refuerzo","3434"
"Santiago del Estero","60-69","F","Unica","124"
"Santiago del Estero","60-69","M","1ra","32720"
"Santiago del Estero","60-69","M","2da","30973"
"Santiago del Estero","60-69","M","Adicional","7679"
"Santiago del Estero","60-69","M","Refuerzo","2893"
"Santiago del Estero","60-69","M","Unica","164"
"Santiago del Estero","60-69","S.I.","1ra","134"
"Santiago del Estero","60-69","S.I.","2da","85"
"Santiago del Estero","60-69","S.I.","Adicional","14"
"Santiago del Estero","60-69","S.I.","Refuerzo","7"
"Santiago del Estero","60-69","S.I.","Unica","2"
"Santiago del Estero","70-79","F","1ra","20226"
"Santiago del Estero","70-79","F","2da","19437"
"Santiago del Estero","70-79","F","Adicional","6146"
"Santiago del Estero","70-79","F","Refuerzo","3278"
"Santiago del Estero","70-79","F","Unica","73"
"Santiago del Estero","70-79","M","1ra","17308"
"Santiago del Estero","70-79","M","2da","16362"
"Santiago del Estero","70-79","M","Adicional","4997"
"Santiago del Estero","70-79","M","Refuerzo","2718"
"Santiago del Estero","70-79","M","Unica","76"
"Santiago del Estero","70-79","S.I.","1ra","130"
"Santiago del Estero","70-79","S.I.","2da","90"
